project_name,pin_version,set_type,known_incident,incident_cve,incident_depth
flask,2.2.5,A,no,,
django,3.2.18,A,no,,
cryptography,38.0.4,A,no,,
requests,2.28.2,A,no,,
scrapy,2.8.0,A,no,,
pillow,9.3.0,A,no,,
celery,5.2.7,A,no,,
sqlalchemy,1.4.46,A,no,,
pyyaml,5.3.1,B,yes,CVE-2020-14343,0
paramiko,2.11.0,B,yes,CVE-2023-48795,0
boto3,1.26.0,B,yes,CVE-2023-43804,1
pandas,1.5.3,B,yes,CVE-2020-13091,0
scikit-learn,1.0.2,B,yes,CVE-2020-28975,0
numpy,1.23.5,B,yes,CVE-2021-41495,0
fastapi,0.95.0,B,yes,CVE-2023-29159,1
