project_name,pin_version,set_type,known_incident,incident_cve,incident_package,incident_depth,transitive_dep_count,graph_max_depth,meets_depth_floor,verification_method,notes
apache-airflow,3.3.1,A,no,,,,126,5,yes,deps.dev,"General baseline; huge fan-out root, good for testing wide+deep decay behavior"
apache-superset,6.1.0,A,no,,,,144,5,yes,deps.dev,"Largest transitive dep count in candidate set"
jupyterlab,4.6.3,A,no,,,,80,5,yes,deps.dev,""
notebook,7.6.2,A,no,,,,81,5,yes,deps.dev,"Also used as B-row root (see below) with a different incident CVE"
jupyter,1.1.1,A,no,,,,95,6,yes,deps.dev,"Meta-package pulling full jupyter stack; deepest max_depth in candidate set tied with providers-amazon"
dvc,3.67.1,A,no,,,,97,4,yes,deps.dev,""
dbt-core,1.12.3,A,no,,,,56,3,yes,deps.dev,""
sentence-transformers,6.0.1,A,no,,,,59,5,yes,deps.dev,""
llama-index,0.14.24,A,no,,,,68,5,yes,deps.dev,""
kedro,1.5.0,A,no,,,,39,4,yes,deps.dev,""
datasets,5.0.1,A,no,,,,34,3,yes,deps.dev,""
great-expectations,1.22.0,A,no,,,,34,3,yes,deps.dev,""
prefect,2.19.0,A,no,,,,92,4,yes,deps.dev,""
scrapy,2.18.0,A,no,,,,34,3,yes,deps.dev,"Also used as B-row root with urllib3 incident at depth 3"
streamlit,1.63.0,A,no,,,,35,3,yes,deps.dev,"Also used as B-row root with urllib3 incident at depth 2"
boto3,1.26.0,B,yes,CVE-2023-43804,urllib3,2,6,3,no,deps.dev,"FIX for original project_list.csv row: old row had incident_depth=1 for this same CVE, which was wrong -- boto3 -> botocore -> urllib3 is genuinely 2 hops, confirmed via deps.dev dependency graph for boto3==1.26.0 (resolves botocore 1.29.165 -> urllib3 1.26.20 in current deps.dev index; see caveat in dataset-v2-notes.md about resolver floating to latest-compatible patch rather than the literal CVE-window version). transitive_dep_count=6 is below the >=15-20 floor -- retained despite failing the width floor specifically because it directly repairs a documented bug in the existing dataset and is a very clean 2-hop chain for a case study."
apache-airflow,3.3.1,B,yes,CVE-2024-22195,jinja2,2,126,5,yes,deps.dev,"Jinja2 xmlattr() XSS. jinja2 sits 2 hops deep in airflow 3.x's webserver dependency chain (root -> flask-family package -> jinja2), not a direct dependency -- a genuine multi-hop propagation case, unlike most jinja2 usages elsewhere in this list which are depth 1."
apache-airflow-providers-amazon,8.24.0,B,yes,CVE-2022-29217,pyjwt,3,153,6,yes,deps.dev,"PyJWT algorithm-confusion / key-injection in jwt.decode(). pyjwt confirmed at depth 3 in this provider package's graph."
azure-cli,2.61.0,B,yes,CVE-2022-36087,oauthlib,4,142,4,yes,deps.dev,"oauthlib OAuth1 DoS via crafted Authorization header. oauthlib confirmed at depth 4 (root -> ... -> requests-oauthlib -> oauthlib), the deepest confirmed incident placement in the candidate set."
azure-cli,2.61.0,B,yes,CVE-2023-48795,paramiko,2,142,4,yes,deps.dev,"Terrapin attack (SSH protocol truncation). Same root/version as the oauthlib row above, different CVE/package -- paramiko confirmed at depth 2. Also demonstrates the same CVE that the OLD project_list.csv used as a depth=0 (root-is-the-vulnerable-package) case for paramiko itself; this row shows the same CVE in a genuinely transitive position instead."
google-cloud-bigquery,3.24.0,B,yes,CVE-2023-49083,cryptography,2,24,4,yes,deps.dev,"NULL-pointer dereference loading crafted PKCS7 certificates. cryptography confirmed at depth 2."
google-cloud-storage,3.13.1,B,yes,CVE-2024-7254,protobuf,2,18,4,borderline,deps.dev,"protobuf unbounded-recursion DoS. protobuf confirmed at depth 2. transitive_dep_count=18 is inside the 15-20 floor range but at the low end -- flagged borderline, prefer google-cloud-bigquery row above if only one is needed."
scrapy,2.18.0,B,yes,CVE-2023-43804,urllib3,3,34,3,yes,deps.dev,"Same urllib3 cookie-leak CVE as the boto3 row, different ecosystem position -- urllib3 confirmed at depth 3 here (root -> requests -> urllib3, plus an independent depth-2 path), a cleaner multi-hop case than boto3's narrow 6-node graph."
streamlit,1.63.0,B,yes,CVE-2023-43804,urllib3,2,35,3,yes,deps.dev,"Same CVE again, third distinct root/topology -- deliberately included to let the evaluation check whether the scoring model produces consistent risk ordering for the *same* CVE at different depths/roots (2 here vs 3 in scrapy vs 2 in boto3's narrower graph)."
llama-index,0.14.24,B,yes,CVE-2023-43804,urllib3,3,68,5,yes,deps.dev,"Fourth urllib3/CVE-2023-43804 root, deepest of the four (depth 3, in a wide 68-node graph) -- good for checking decay behavior on a wide+deep graph rather than boto3's narrow one."
dagster,1.7.9,B,yes,CVE-2023-43804,urllib3,2,48,3,yes,deps.dev,"Fifth urllib3 root -- included mainly as a data-orchestration-domain analog to prefect/mlflow/dbt-core in set A, kept for domain diversity rather than as another urllib3 example; consider dropping if 5 rows for one CVE is judged excessive."
sentence-transformers,6.0.1,B,yes,CVE-2025-43859,h11,4,59,5,yes,deps.dev,"h11 HTTP request-smuggling vuln (CVSS ~9.1, disclosed Apr 2025) via httpx -> httpcore -> h11. This is the newest and highest-severity incident CVE in the candidate list and sits at depth 4, the deepest confirmed incident placement together with the azure-cli/oauthlib row. Also appears at depth 3-4 in apache-airflow, jupyter, notebook, langchain, transformers per the deps.dev scan -- see notes.md for alternates if a second h11 row is wanted."
dvc,3.67.1,B,yes,CVE-2022-24439,gitpython,2,97,4,yes,deps.dev,"GitPython improper handling of untrusted repository clone paths (RCE-class). gitpython confirmed at depth 2 (root -> ... -> gitpython)."
mlflow,2.14.1,B,yes,CVE-2023-50447,pillow,2,57,3,yes,deps.dev,"FIX for original project_list.csv row: old dataset made pillow the ROOT (pillow==9.3.0) with the CVE at depth 0 and total_nodes=1 -- pillow has no runtime dependencies of its own, so it can never show multi-hop propagation as a root. This row instead places the same class of pillow RCE (ImageMath.eval arbitrary code execution) as a genuinely transitive dependency (root -> ... -> pillow) at depth 2 inside mlflow's real dependency graph."
jupyter,1.1.1,B,yes,CVE-2020-14343,pyyaml,4,95,6,yes,deps.dev,"FIX for original project_list.csv row: old dataset made pyyaml the ROOT (pyyaml==5.3.1) with total_nodes=1 (pyyaml has no runtime deps), so incident_depth=0 with no possible propagation demo. This row places the same unsafe-yaml.load() CVE as a transitive dependency 4 hops deep inside the jupyter meta-package's graph -- the single deepest confirmed incident placement in the candidate list."
notebook,7.6.2,B,yes,CVE-2023-43804,urllib3,3,81,5,yes,deps.dev,"Sixth urllib3 root, notebook-domain analog to jupyter/jupyterlab in set A. Consider dropping in favor of jupyter's pyyaml row above and jupyterlab remaining incident-free in set A, if the review decides 6 urllib3 rows is too many; kept here for now per the 'more rows than needed, prune during review' approach."
